1		ffffff
387		f0eada
2		fcfbf8
59		ab0249
73		f0ced4
969		e2a099
95		e6ccd9
873		572433
1030		9891b6
118		a3aed1
120		bbc3d9
178		4c526e
175		999fb7
176		7880a4
159		dbecf5
877		4d8361
240		c8d8b8
278		eff4a4
280		c0c840
375		a77c49
274		d1d1d1
849		848484
110		835b8b
109		a37ba7
108		c39fc3
342		e3cbe3
897		883e43
895		cc847c
893		ebb7af
1026		ffdfd5
352		6f2f00
1049		b35f2b
1006		b71f33
289		fded54
42		564a4a
403		000000
148		1c5066
979		35668b
1019		814952
1017		b7737f
400		6c6c6c
399		ababab
218		205f2e
215		69885a
9046		c72b3b
978		5a8fb8
100		633666
119		5c5478
977		739fc1
38		ee546e
150		253b73
117		b7bfdd
1025		bf2d2d
13		d21035
11		e04848
10		e96a67
9		fd9c97
6		fed7cc
1014		984436
5975		c56a5b
217		617a52
214		a6c298
1043		d7edcc
855		b89d64
854		bfa671
853		ccb784
351		8f430f
1047		f7a777
914		bb8161
236		565656
235		8c8c8c
398		d3d3d6
374		a07042
943		c69f7b
358		7a451f
310		985e33
1046		b87748
1045		cb9051
362		e4bb8e
290		ffd600
288		fffb8b
233		917b73
232		c0b3ae
231		d7cecb
267		72843c
266		aebf79
253		d8e498
1005		a7132b
683		044d33
878		396f52
876		7bac94
1042		c4decc
210		338362
162		3b768f
1039		4f93a7
1038		7eb1c8
862		666d4f
860		969e7e
859		abb197
858		c4cdac
401		636458
933		f2e3ce
102		5c184e
99		803a6b
98		a3638b
96		dbb3cb
212		2c6a45
208		8fc098
206		a7cdaf
281		888d33
1064		5ba3b3
1062		90c3cc
57		d1286a
63		e24874
62		ffa4be
55		ffb0be
1094		ffc0cd
334		fa3203
332		fd5d35
889		796047
898		967656
832		bc9a78
831		dcc4aa
936		875539
903		857b61
392		a49878
830		ddd8cb
273		6e655c
8581		877d73
1040		b0a69c
900		bcb4ac
46		e31d42
891		e5ce97
886		f5eccb
901		bc8d0e
923		056517
228		07731b
227		3f8f29
226		47a72f
238		7bb547
256		9ecf34
926		fffbef
88		9c2462
326		e55c1f
925		f27842
323		f7976f
305		ffc840
295		fdd755
293		fff1af
890		d0a53e
845		827b30
924		938b37
279		c7c077
361		eccc9e
316		ff8b00
304		ffa32b
303		ffbf57
302		fed376
301		ffe793
300		ffe9ad
275		fcfcee
158		e5fcfd
1012		f7cbbf
868		eeaa9b
1022		f5adad
1021		ffc9c9
234		ececec
259		e4ecd4
128		d9ebf1
24		fcb0b9
65		913546
968		dfb3bb
380		624b45
309		94631a
308		a26d20
307		ae7720
306		ce9124
941		555b7b
133		11416d
132		13477d
131		466a8e
136		748eb6
144		c0ccde
359		653919
149		2c597c
169		3d95a5
168		64abba
130		94a8c6
161		a1c2d7
45		7b001b
43		87071f
23		ffdfd9
271		ffeeeb
134		0e365c
390		e7e2d3
152		213063
164		396987
160		bddded
9159		c5e8ed
906		7e6b42
277		8d784b
907		bd9b51
874		dbbe7f
1088		594937
1086		675541
1084		9a7c5c
1082		b69b7e
1080		d1baa1
1041		484848
944		835e39
35		ff5773
33		ff798c
28		fc90a2
27		ffb2bb
1044		1b5300
360		492a13
52		f27688
333		d15807
258		557822
257		628a28
255		c7e666
229		187e56
205		189065
209		1b9d6b
204		6dab77
1029		820043
89		9b1359
341		82340a
340		a64510
1004		ac5414
1003		c66218
851		566a6a
850		98aeae
848		bdcbcb
1035		455c71
1034		6a859e
1033		a2b5c6
861		424d21
269		4c5826
268		627133
381		361f0e
188		3d9384
881		fbd5bb
330		ff7b4d
1011		fee7da
4146		eed3c4
1010		ffe2cf
203		88ba91
40		ff9191
50		fdb5b5
187		3eb6a1
186		59c7b4
76		cf7373
75		e68a8a
185		a9e2d8
298		ffb515
297		ffe300
355		914f12
1001		c28142
1002		dc9c56
246		405230
244		587141
243		738b5b
242		8da675
1076		477b6e
1072		6fae9f
1070		90c0b4
410		2696b6
433		30c2ec
846		898a58
844		a6a75d
842		b9b982
905		4f4b41
397		ebeae7
391		e3d8cc
871		956f7c
870		b79da7
888		bc966a
887		d8bc9a
852		e7d6c1
681		5f6648
262		889268
261		9ca482
883		c48e70
847		e6e8e8
292		fdf9cd
129		b8d2e6
36		fbadb4
1024		e36d6d
329		ff836f
328		fcab98
264		ccd9b1
74		e4a6ac
263		5e6b47
260		83975f
382		1e1108
87		c54989
86		ea9cc4
85		f4aed5
1028		881531
68		c96b70
66		e7a9ac
49		fbbfc2
31		ffcbd5
1023		f18787
1020		ffe2e2
25		ffbdbd
896		a14b51
1027		bc6c64
1018		9b5b66
1016		dba9b2
869		d7cbd3
1036		384c5e
1032		c7d1db
1031		dbe2e9
140		93b4ce
1037		eefcfc
928		acd8e2
170		347f8c
167		99cfd9
779		657f7f
1009		ffeee3
336		f4bba9
1007		a06c50
1008		b67552
778		f3e1d7
1048		cf7939
1015		863022
1013		d98978
904		6b5743
899		d2bca6
393		7f6a55
1098		e74967
972		ab3357
122		60678c
1068		366970
1066		3f7c85
1060		bce3e6
875		b2d4bd
1074		508b7d
386		fffde3
8		fecdc2
311		f7bb77
373		b78b61
29		b32f48
26		ea8699
90		ba91aa
177		5c7294
1089		14aad0
1090		06e3e6
189		378477
313		f2af68
379		7d5d57
378		a68881
376		cbb69c
